nGram,size,mormonFreq,nonMormonFreq
sins he,2,1,3
revenge,1,1,5
belonging unto,2,1,2
know that he,3,1,9
better,1,5,117
been faithful in,3,2,3
steal neither,2,1,1
ever for they,3,1,1
heart and a,3,3,2
be delivered from,3,2,7
multiply and replenish,3,1,2
the heavenly such are they,5,1,1
that summer is now nigh,5,1,1
purpose have,2,1,1
but now i,3,2,6
to them the,3,1,5
that shall be,3,5,26
be as it,3,1,2
sins in,2,2,3
god even thy,3,1,2
they will come,3,1,2
which shall be in,4,1,2
the pit,2,1,54
again there,2,2,4
i will build,3,2,9
men unto him,3,1,2
lord and not,3,1,4
whole earth shall,3,1,1
shortly come to pass,4,2,1
lord that in,3,1,1
man or woman shall,4,2,2
lord that is,3,1,6
to meet the,3,3,9
lord anointed,2,1,11
by lying,2,1,4
new heaven,2,1,1
loose on earth,3,4,2
baptism of,2,4,10
there came a,3,1,35
the evil,2,5,95
thee that thou shalt,4,6,5
now thou,2,1,16
things which thou,3,2,8
you in your,3,2,2
upon you that,3,1,2
assure,1,1,1
the waters to boil,4,1,1
lord that he,3,1,16
gracious,1,2,31
your children unclean but,4,1,1
scriptures unto,2,2,1
i tell you,3,3,21
thus thou,2,2,5
the dead if the,4,1,1
ye may be,3,10,25
and let not the,4,1,5
record saying i,3,1,1
they grow they toil not,5,1,2
the office of a bishop,5,2,1
of thy servants,3,3,11
seen o,2,1,2
he upon all,3,1,1
father had,2,1,23
the elders,2,52,143
even god,2,4,3
from mine,2,3,18
powers of the world,4,1,1
which he hath done,4,2,5
of time,2,3,9
authority which,2,1,1
the commandment of,3,1,67
which the prophets and,4,1,2
should preach,2,1,1
thy will,2,3,7
cursing,1,4,12
this once for,3,1,1
ye may be able,4,2,4
worship him that,3,1,2
law and ye,3,2,1
god even the,3,4,7
are among you,3,1,4
i have commanded,3,39,21
these wounds in thine hands,5,1,1
know that it,3,1,6
go over the,3,1,4
and why did,3,1,1
even to them that,4,1,1
but one,2,1,22
is above all,3,1,4
servitude,1,1,2
from off their,3,1,3
carefully,1,3,4
joseph as,2,1,1
the dust of thy,4,1,1
have trodden the alone,4,2,1
that he may know,4,1,1
before mine eyes i,4,1,1
earth have,2,1,6
according to that,3,15,11
and have sent,3,1,2
deaf to hear and the,5,1,1
are in the,3,6,56
under foot of,3,1,1
you shall,2,142,26
the rest of,3,3,97
themselves before the,3,1,2
will not come into,4,2,1
and thou shalt bear,4,1,1
vain and,2,1,8
is given unto,3,7,7
the dust of the,4,1,14
ought not,2,2,15
say that the,3,1,3
unto the last,3,2,2
the price,2,1,15
elijah,1,12,69
keep all my commandments,4,3,2
himself the,2,1,9
darkened and,2,3,8
shall be revealed in,4,2,1
thy heart and,3,3,6
your journey into,3,1,1
crowns upon,2,1,2
rather than,2,3,14
i have reserved,3,4,2
the pride,2,1,19
and cast them,3,1,17
the fulness of times,4,11,1
the imagination,2,1,12
that city that,3,1,1
faith fail not,3,1,1
may consume it upon,4,1,1
a just,2,9,17
light shall,2,3,4
be broken up,3,2,1
for to this,3,1,2
little while and,3,1,14
choosing,1,2,1
my sons for,3,1,2
that he shall,3,17,23
business,1,17,29
mountains for,2,1,2
fulness thereof and,3,1,1
shall not always strive with,5,1,1
and truly,2,1,6
way before me,3,2,1
died for,2,1,11
name and for,3,1,1
off o,2,2,1
come up unto me,4,1,3
were ordained,2,3,2
son as,2,1,2
was lifted,2,1,8
weeks shall,2,1,1
and be with,3,1,1
do likewise,2,3,5
but out,2,1,3
lest i come and,4,2,1
sing together,2,1,1
but a small thing,4,1,1
off a,2,1,3
law and by,3,2,1
and upon the earth,4,2,4
that should come,3,1,7
light of the moon,4,1,1
journey,1,61,60
and here is,3,1,1
shall take,2,10,117
entered into the,3,2,41
yielded,1,1,8
mount and,2,1,49
time as it,3,1,1
as i also,3,1,3
he exalted himself,3,1,1
my rock and my salvation,5,1,2
world began,2,2,6
gospel shall,2,2,2
joseph do,2,1,1
every man should take,4,1,1
me continually,2,1,2
journey and,2,7,15
all the words which i,5,1,1
are not clean,3,1,3
judgment unto,2,1,6
to judgment to,3,1,1
the books were,3,2,2
with eternal,2,1,1
two and,2,2,30
that these things,3,7,6
light of men,3,1,1
a just and,3,1,2
his own likeness,3,1,1
is this which is,4,1,1
a servant in the,4,1,1
concerning all,2,6,7
ye shall leave,3,1,2
the blind,2,3,39
which ye could not,4,1,1
christ to the,3,1,4
yea all,2,3,8
thou bring,2,1,22
shall guide,2,1,2
them sharply,2,1,1
curse,1,17,101
process of,2,2,5
and have seen,3,2,3
spirit from,2,1,7
their detestable,2,1,4
way before me and,4,1,1
back,1,8,154
lay the foundation,3,4,3
only of the,3,1,1
not as yet,3,3,2
be scattered,2,1,13
is told,2,1,2
all things whatsoever ye shall,5,1,1
unto them according to,4,2,1
a sore,2,2,7
and this will,3,1,1
among you shall,3,3,4
pattern which,2,8,2
the father the,3,1,8
third lot,2,1,1
in the presence of all,5,1,8
so will i gather,4,1,1
yea and,2,21,29
son he,2,1,6
upon them for,3,1,4
but they shall not be,5,1,1
and his sword,3,1,2
to the dividing asunder of,5,5,1
for some,2,2,7
night let,2,1,1
and of the blood of,5,1,1
condemnation,1,30,12
by the heads,3,1,1
to glory,2,1,8
obedient to,2,1,3
might flow down,3,1,1
time and the,3,3,4
seal up,2,4,2
the fourth month and,4,2,1
a cloud with power,4,1,1
grievous unto me,3,1,1
to truth,2,1,1
and who can,3,2,3
a firm,2,1,1
storehouse,1,14,2
then shall they,3,7,21
five years in the,4,1,1
confess your,2,1,1
and that he may,4,1,3
purse nor,2,1,1
among other,2,1,2
and your sins,3,4,2
son in,2,2,31
appointed him,2,5,6
the fierceness of,3,2,10
messengers,1,4,79
of bread and,3,4,16
sufficiency,1,1,3
a witness unto,3,1,5
son if,2,1,4
the hidden things,3,2,2
seal of,2,1,4
continue until,2,1,1
the heart of man,4,1,6
to do with,3,2,20
are christ at his,4,1,1
saying avenge me of mine,5,1,1
joined together,2,1,8
shalt take,2,5,34
wear out,2,1,1
and this commandment,3,1,1
things which belong,3,1,1
also he hath,3,1,1
a while but afterward,4,1,1
for it shall be,4,3,8
the poison,2,1,6
will build my church and,5,1,1
and him that,3,2,23
for since,2,1,9
of beasts and,3,2,4
the poor the,3,3,4
jesus christ the son of,5,10,3
ears with a,3,1,2
and truth,2,12,22
in the land of their,5,1,7
the sinews,2,1,2
palms,1,1,7
of the holy ghost,4,20,20
childhood,1,1,2
laid the foundation,3,1,10
been before,2,1,5
be sober,2,4,8
apostle and,2,1,2
the duty of,3,18,4
gather together in,3,1,2
and when any,3,2,1
what thou,2,6,85
elders of the,3,14,30
righteousness and let,3,1,2
still and know that i,5,1,1
trees,1,6,157
even the sons of,4,1,2
words o lord,3,1,1
before the elders of,4,1,3
but with,2,3,25
it because they,3,1,3
know neither the day,4,1,1
am thy god,3,1,1
star,1,2,15
and then the,3,6,3
stay,1,16,33
same with,2,1,2
is the life and,4,1,1
others with,2,1,3
son or,2,1,7
not till,2,1,5
these there,2,1,1
version of,2,1,1
son of,2,49,1602
had died in,3,1,2
and this is a,4,1,1
work upon,2,1,2
may be ashamed,3,1,5
bank,1,3,14
shall mount,2,1,2
their hands upon them,4,2,1
band,1,2,19
out devils in,3,1,2
shall ask it shall be,5,1,1
plucked out,2,1,3
troubled for,2,2,5
unto him i,3,2,27
shout aloud,2,1,1
the house which,3,2,10
they will hearken,3,1,1
art thou for,3,2,1
in it thou shalt,4,1,2
unto him a,3,3,14
make an end,3,2,8
in this life,3,4,4
name according,2,2,1
in his love and in,5,1,1
love me keep my,4,1,1
numbers,1,4,4
whereby they lie in wait,5,1,1
the law that i,4,1,2
things were made by,4,1,1
tread,1,1,33
have laid,2,2,25
anointed both,2,1,1
the lord god and,4,2,9
and glory,2,12,17
in prayer,2,5,7
weight of glory,3,2,1
and the prophets unto the,5,1,1
the voice of the lord,5,17,49
for the same,3,1,4
seeds,1,2,5
rise up,2,3,67
the mercy of,3,1,4
saints that,2,9,4
the voice out,3,1,1
zion rejoice,2,2,1
return unto,2,2,40
to return to,3,4,11
strange act,2,2,1
world that he,3,1,1
but without,2,1,3
step,1,1,2
stem,1,2,1
consecrated unto the,3,5,2
first man is of the,5,1,1
wilt hearken,2,1,2
his hands upon,3,1,9
ever for,2,3,10
him from generation to,4,6,1
to do evil,3,1,13
cut off those,3,1,2
in the kingdom of,4,14,18
and the whole earth,4,2,1
hiding,1,4,6
bars,1,1,38
thyself and,2,2,18
shall mourn,2,4,11
tongues and,2,6,9
bare,1,2,185
oven and all the,4,1,1
spirit unto the,3,3,1
martyr,1,1,2
and thus did,3,1,4
heed lest he,3,1,2
be rent and,3,2,3
smite the earth,3,1,3
their enemies saith the,4,1,1
you ye shall not,4,1,8
the lord from,3,6,26
tribes of israel and,4,2,5
ye may know how,4,3,3
of the devil for,4,1,2
ever before,2,1,4
therefore gird up thy,4,1,1
in the month and,4,1,1
great valley,2,1,1
unwise,1,2,4
untoward generation,2,2,1
but he that is,4,1,18
is just and,3,2,2
husband else were your children,5,1,1
true which,2,1,1
thy name in,3,1,3
children of jacob,3,2,3
have sought me,3,1,1
them from that,3,1,1
stir,1,2,20
shall be opened unto,4,10,2
let each,2,4,1
at all times,3,5,8
unjust that he might bring,5,1,1
beware of,2,3,13
the beasts of,3,6,43
fear because of,3,1,3
already been,2,2,1
god shall give,3,2,3
him that i will,4,1,1
of isaac and of,4,1,2
even for,2,3,22
upon the house of,4,1,9
thou art the man,4,1,1
and they sang,3,1,2
will visit you,3,2,1
same even,2,3,1
nor of men,3,1,1
be reserved unto the,4,1,1
that thou shalt,3,10,47
remember o lord the,4,1,1
rejected the word of,4,1,3
unto the land,3,27,43
but among the righteous,4,1,1
driven back,2,1,2
the finger of,3,1,4
even before,2,1,7
refiner fire,2,1,1
cleanse your,2,4,1
sojourn,1,1,33
it can not,3,2,15
the comforter which,3,7,1
thee by the,3,4,10
that there shall,3,4,11
this ministry,2,6,3
prophets since the world,4,2,1
shall not inherit,3,3,2
return unto thee,3,1,4
hearkened not unto the,4,1,6
given unto us,3,4,5
the proud and,3,2,1
stephen,1,3,7
all under,2,1,3
god and give,3,2,1
his glory to,3,2,3
the lord will not be,5,1,1
be thrust,2,1,2
thou shalt deliver,3,2,4
appointed according to the,4,1,1
back into,2,2,1
who am i that,4,1,1
gospel might,2,1,1
to make all,3,1,4
on to the,3,1,1
said the,2,1,130
concerning their,2,3,4
the holy scriptures,3,4,2
the widow and,3,1,3
earth hath,2,1,2
enmity,1,3,8
to refrain,2,1,1
require the,2,1,1
and all their,3,5,32
of my mouth and,4,1,3
dead and,2,10,47
heart i will,3,1,3
children for,2,3,13
unto her by,3,1,1
therefore when,2,1,9
the gospel and,3,7,3
to lay the foundation of,5,3,2
stop,1,8,7
the father who,3,1,2
not in the,3,6,43
be converted that,3,1,1
and prophecy,2,2,1
o mighty god,3,1,1
abide in your,3,1,1
and tell,2,2,24
of god unto him,4,1,2
it is given unto,4,2,2
his thoughts,2,1,5
and observe,2,3,4
the judge and,3,1,4
justified in the,3,1,2
of the higher,3,2,1
unto this people a,4,1,1
the summer is,3,1,1
the part of,3,2,7
deaf and,2,1,2
sanctuary,1,1,137
his servants to,3,1,4
breastplate,1,2,28
always to,2,1,2
and the earth shall,4,8,7
to observe,2,4,9
come all are,3,1,1
also gave,2,1,2
in any other,3,1,3
law shall be,3,1,3
will the,2,4,31
not my will,3,1,1
and kept the,3,1,3
righteousness mighty to,3,1,1
to tell,2,1,17
when shall these things be,5,1,3
will thy,2,1,2
not one another,3,1,1
under the hands,3,4,4
long suffering and,3,1,1
fit to,2,1,2
angel from,2,1,1
his bone and,3,1,1
be lifted up,3,5,8
overtake you,2,2,2
and this is my,4,2,2
faith hope charity,3,1,1
of my glory and,4,2,1
there were that,3,1,2
confirmed to,2,2,1
are the sons of,4,1,34
when this,2,3,8
calling and,2,6,3
loose,1,5,29
waves of,2,1,5
to be set,3,1,11
none which,2,1,1
terrible unto,2,2,1
an unfaithful,2,2,1
under the hands of,4,4,4
office to,2,6,1
reign of king,3,1,3
therefore what,2,1,6
shall be loosed in heaven,5,3,2
all the lands,3,2,1
as for the,3,2,34
and preached,2,2,11
shake off the dust of,5,2,1
let there be a,4,5,1
the ears of the lord,5,5,3
my people israel,3,2,31
when i shall make,4,1,2
as i said,3,10,4
city of jerusalem,3,1,1
upon the children of,4,3,7
end of speaking,3,1,9
with unquenchable,2,2,1
unto the lord thy god,5,1,30
i will consecrate,3,3,1
the resurrection of,3,9,13
shall be that,3,1,24
all his afflictions and,4,1,1
shall be purified,3,1,2
any that are,3,1,1
a lie and,3,1,2
voice but,2,1,3
we will say,3,1,2
as it is written,4,8,45
seventy,1,13,61
who hath appointed,3,1,2
i have a great,4,1,1
prophet the,2,1,8
whom i am,3,4,7
hear of wars,3,3,3
stood up in the midst,5,1,2
voice fear god,3,1,1
seventh,1,9,120
may be cut off,4,1,2
wicked lift,2,1,1
are gathered,2,2,17
be blessed of him,4,1,1
will try,2,1,2
tried,1,6,20
deceive but he,3,1,1
and all these,3,2,11
as many of,3,1,2
seed be,2,1,5
your families,2,8,2
spent his,2,1,1
the earth neither the,4,1,1
inherit the earth and,4,1,2
turn back and,3,1,1
ghost which,2,8,4
and if a man,4,1,23
i perceived that,3,1,3
in the earth beneath,4,2,3
man because he,3,1,2
and my god,3,1,8
from the world,3,4,1
repent ye for,3,2,1
wilderness which,2,1,3
again into,2,2,17
in the firmament of,4,1,4
of sarah,2,1,4
will save,2,1,21
and waited,2,1,2
shall be filled with his,5,1,1
strongest,1,1,1
that house and,3,3,3
their end,2,1,2
heart let,2,2,4
do good,2,5,27
life through,2,1,2
and the devil,3,4,4
amiss,1,1,4
father for,2,3,20
have left,2,3,11
my gospel and,3,9,1
thee that it may be,5,1,4
judge righteously,2,1,2
he tarry,2,1,2
not break,2,1,8
much people in this,4,1,1
he had been,3,2,11
ye receive,2,7,9
lord and keep his,4,1,1
the oracles of god and,5,1,1
flies,1,1,10
a commandment to,3,2,4
teach you the,3,1,2
trial,1,1,6
walk before thee with all,5,1,2
shall say unto him,4,1,5
and thy voice,3,1,1
the dust of,3,4,22
the four corners,3,2,18
sin because,2,1,3
my son that,3,2,2
with many of,3,1,1
lie down in sorrow,4,1,1
midst of my people and,5,1,1
that it shall,3,10,23
by himself,2,1,13
are and were,3,1,1
fail not to,3,1,1
which should,2,2,17
whosoever is of,3,1,1
from another star in glory,5,1,1
tribe,1,2,241
and know what,3,1,1
when thou,2,7,168
such a one,3,1,3
from the wicked,3,1,7
for obedience,2,2,1
that man who,3,1,1
and pilgrims on the,4,1,1
office of,2,21,7
in the which i will,5,2,1
principalities or powers,3,1,1
by the holy,3,20,10
accept the,2,2,3
talk not,2,1,1
his servants go,3,2,1
up the tares,3,1,1
fowls of heaven,3,2,5
law there,2,1,1
shall open,2,3,5
as thou said and,4,1,1
that pertain unto the,4,1,1
and prophets,2,2,4
office in,2,3,4
of mine enemies,3,9,11
your brethren,2,22,38
reward saith the lord of,5,1,1
vineyards,1,2,45
and prophesy,2,2,10
glory and,2,23,55
in this place and,4,5,4
shall eat or what,4,2,2
said who,2,1,35
rebelled against,2,3,28
servants and said unto,4,1,1
the red,2,2,28
third day and,3,1,7
own house,2,1,42
reproachfully,1,1,2
grow up without,3,1,1
ones they,2,1,1
said unto him i,4,1,18
blotted out of the,4,1,1
stronger and stronger and,4,1,1
and of thine,3,1,3
our god in,3,1,3
such,1,45,249
were given unto,3,3,2
noble,1,3,7
was angry,2,2,7
in the temple,3,2,48
have transgressed the,3,1,4
our god is,3,1,14
the nations and all the,5,1,1
thou not have,3,1,5
which i am,3,3,3
right hand unto,3,1,1
the nineteenth,2,1,4
lord house in,3,1,2
god in their foreheads,4,1,2
commune with,2,1,7
good neither,2,1,2
to prophesy,2,4,3
will smite them,3,1,1
he that and is,4,2,2
destroy you,2,3,7
of one crying in,4,1,4
were and,2,4,43
and what the son of,5,1,3
established that,2,1,3
to become,2,9,3
with those,2,3,6
and and all,3,1,16
that he should,3,16,59
and at the,3,2,27
and not for your,4,1,1
compassion toward them,3,1,2
their voices and,3,1,4
the wheat,2,9,14
and at thy,3,1,2
which is good,3,1,23
have compassion,2,1,16
the land of their,4,3,14
he that and he,4,1,3
were delivered,2,1,5
the jews,2,18,230
gift of the,3,8,3
i come quickly and,4,3,1
also this,2,2,3
and that was,3,1,3
in unto the,3,1,21
doctrine and,2,8,3
himself was,2,1,3
ones that,2,1,4
were all,2,2,41
remain,1,33,79
also they,2,2,13
generation the,2,2,1
flee to,2,1,6
time saying,2,1,12
of judah after,3,1,1
spirit by,2,5,5
all the kings of,4,1,28
brightness,1,3,22
great is your,3,1,1
it every,2,1,8
also know,2,1,1
field how they grow,4,1,1
accounted worthy,2,3,2
not overcome,2,2,2
earth because of,3,1,1
and he said unto the,5,2,9
the kingdom shall,3,1,7
tongue shall,2,3,8
israel,1,49,2575
and and and,3,1,513
of the dead and,4,2,3
is bitter,2,1,2
of the daughters,3,1,20
always in,2,1,6
house in the,3,3,9
therefore if ye,3,2,2
of the sun and the,5,1,1
he shall give you,4,1,1
to the land which,4,1,1
according to this,3,2,8
the rod,2,2,37
that the mountains might,4,1,1
therefore i command,3,3,4
suit,1,2,3
when they,2,20,412
may be delivered from,4,1,3
worthy to,2,6,21
the loss of,3,2,5
and all people,3,2,2
that it might,3,4,23
as serpents,2,1,1
therefore it is,3,7,5
is clothed with,3,1,3
thou shalt pay,3,1,2
words that are,3,1,2
inhabitants thereof for,3,1,1
from hence,2,1,7
cross and follow,3,1,3
way to zion,3,1,1
is every,2,1,8
a one as,3,1,1
shall be bathed in,4,1,1
fail that they,3,1,2
also that,2,17,52
sanctify yourselves,2,5,8
should be cast,3,1,3
neither shall,2,3,162
spirit on,2,1,1
shed the blood,3,1,4
offer him,2,1,4
ever saith the lord,4,4,1
spirit of,2,51,139
offer his,2,1,9
proceeded,1,2,9
do anything,2,2,2
and they also,3,2,6
is one of,3,1,5
of the temple which,4,1,4
to come in,3,4,7
foes,1,1,7
shall not suffer,3,4,1
temple the,2,1,3
the horse,2,1,24
be burned,2,6,15
thrown down,2,5,14
and to all,3,2,34
go into the,3,3,35
confirming,1,3,3
have dealt,2,1,15
which belong,2,3,1
and as the,3,6,46
wicked and that the,4,1,1
everlasting gospel to,3,2,1
neither shalt,2,1,35
that had been,3,2,13
and they see,3,1,1
all that,2,21,564
i will tell you,4,5,2
have reserved,2,4,2
throughout the land of,4,1,1
baptized,1,32,61
were on their,3,1,1
spirit is,2,6,13
as the rose,3,2,1
effect,1,4,14
as many as,3,24,32
when that,2,1,3
spirit in,2,1,18
in every,2,7,53
place and i,3,1,4
